,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
300,BLUEDART,EQ,9025.0,9088.95,8920.5,8946.7,8945.0,8950.05,18918,169861448.1,12-SEP-2022,6843,INE233B01017
301,BLUESTARCO,EQ,1111.0,1157.0,1111.0,1143.2,1141.0,1160.6,58777,67158839.45,12-SEP-2022,5279,INE472A01039
303,BODALCHEM,EQ,98.05,104.95,97.3,98.75,98.8,96.6,3192744,324416976.6,12-SEP-2022,22464,INE338D01028
304,BOMDYEING,EQ,103.35,107.15,103.0,105.2,105.5,102.6,2627117,276858085.0,12-SEP-2022,13057,INE032A01023
305,BOROLTD,EQ,368.0,379.0,368.0,371.0,370.0,366.6,223652,83380102.1,12-SEP-2022,7721,INE02PY01013
306,BORORENEW,EQ,583.7,593.0,581.5,583.15,581.5,581.0,327965,192393147.2,12-SEP-2022,17403,INE666D01022
307,BOSCHLTD,EQ,17327.65,17364.95,17202.0,17238.95,17287.3,17181.5,28905,500151926.4,12-SEP-2022,4607,INE323A01026
308,BPCL,EQ,338.5,345.0,338.2,342.6,342.15,338.5,2703189,921676302.15,12-SEP-2022,40535,INE029A01011
309,BPL,EQ,73.5,73.85,71.1,71.6,71.8,73.35,109255,7870418.95,12-SEP-2022,1040,INE110A01019
311,BRIGADE,EQ,585.0,585.0,571.55,574.55,573.9,560.8,460715,265696660.15,12-SEP-2022,21331,INE791I01019
313,BRITANNIA,EQ,3640.2,3697.95,3640.2,3671.85,3665.0,3649.5,212688,782804187.7,12-SEP-2022,15020,INE216A01030
315,BRNL,EQ,34.85,34.85,33.95,34.1,34.0,34.0,23468,803821.8,12-SEP-2022,272,INE727S01012
317,BSE,EQ,688.0,695.25,682.05,683.9,682.9,684.55,732816,503287344.85,12-SEP-2022,18260,INE118H01025
318,BSHSL,EQ,618.95,629.55,601.85,629.55,629.55,599.6,15913,9968555.25,12-SEP-2022,447,INE032Z01012
319,BSL,EQ,155.5,155.5,146.5,147.6,148.35,155.5,74727,11219654.5,12-SEP-2022,1951,INE594B01012
320,BSLGOLDETF,EQ,46.29,46.38,45.74,45.96,45.9,46.29,18360,844843.69,12-SEP-2022,228,INF209KB18D3
321,BSLNIFTY,EQ,20.49,20.49,19.99,20.1,20.15,20.01,50595,1018084.22,12-SEP-2022,674,INF209KB19D1
322,BSLSENETFG,EQ,57.24,58.75,57.24,58.1,58.1,57.53,3638,211466.25,12-SEP-2022,165,INF209KB10E8
323,BSOFT,EQ,332.0,341.2,329.5,338.05,338.25,328.75,5357436,1805668061.4,12-SEP-2022,60716,INE836A01035
326,BUTTERFLY,EQ,1505.0,1555.0,1505.0,1518.2,1519.75,1520.5,3027,4607721.3,12-SEP-2022,508,INE295F01017
328,BYKE,EQ,50.6,50.6,48.55,49.55,49.1,48.55,63455,3127995.85,12-SEP-2022,491,INE319B01014
330,CALSOFT,EQ,22.0,22.3,21.7,22.0,22.1,21.85,55633,1223052.2,12-SEP-2022,315,INE526B01014
331,CAMLINFINE,EQ,138.85,141.0,135.6,136.7,136.65,137.1,418117,58018797.6,12-SEP-2022,4864,INE052I01032
332,CAMPUS,EQ,497.0,547.8,493.65,542.25,545.25,494.4,3068062,1621149201.55,12-SEP-2022,57291,INE278Y01022
333,CAMS,EQ,2480.0,2609.0,2469.05,2576.35,2570.0,2460.95,565590,1447237660.35,12-SEP-2022,45678,INE596I01012
334,CANBK,EQ,244.8,249.2,243.45,247.1,246.95,243.55,6179695,1518336902.75,12-SEP-2022,36218,INE476A01014
336,CANFINHOME,EQ,650.0,658.35,645.5,656.4,658.0,647.05,361052,235523126.0,12-SEP-2022,9520,INE477A01020
337,CANTABIL,EQ,1539.8,1543.25,1501.25,1507.75,1501.25,1526.85,17182,26003237.9,12-SEP-2022,1460,INE068L01016
338,CAPACITE,EQ,184.6,190.0,184.55,187.7,188.0,184.25,710003,133501677.55,12-SEP-2022,4874,INE264T01014
339,CAPLIPOINT,EQ,769.6,775.0,764.35,769.2,766.2,765.75,156988,120841501.15,12-SEP-2022,3085,INE475E01026
340,CAPTRUST,EQ,102.4,103.9,102.15,102.95,103.0,102.0,4979,511383.45,12-SEP-2022,128,INE707C01018
341,CARBORUNIV,EQ,883.9,918.4,871.55,906.05,895.0,879.0,775871,697577284.15,12-SEP-2022,27272,INE120A01034
342,CAREERP,EQ,137.5,149.9,137.5,142.85,143.5,135.25,343155,49732736.0,12-SEP-2022,5893,INE521J01018
343,CARERATING,EQ,514.95,535.0,511.9,519.15,521.15,508.8,238290,124637116.2,12-SEP-2022,7676,INE752H01013
344,CARTRADE,EQ,646.85,668.8,645.0,661.3,664.85,639.95,152184,100734241.05,12-SEP-2022,9548,INE290S01011
345,CASTROLIND,EQ,115.7,121.0,115.45,119.0,118.5,115.1,4483074,531742171.6,12-SEP-2022,21263,INE172A01027
347,CCHHL,EQ,9.2,9.25,8.9,8.95,9.0,9.2,160498,1455823.1,12-SEP-2022,486,INE652F01027
348,CCL,EQ,496.6,507.0,496.05,501.55,500.0,499.25,807471,404085006.9,12-SEP-2022,14799,INE421D01022
