,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
476,DMART,EQ,4136.8,4200.0,4130.05,4171.6,4170.0,4146.25,202944,848510738.5,11-APR-2022,26098,INE192R01011
477,DNAMEDIA,EQ,3.15,3.15,2.85,2.85,2.9,3.0,201341,601992.3,11-APR-2022,392,INE016M01021
478,DODLA,EQ,507.0,507.0,490.0,499.6,497.3,498.3,17440,8680347.4,11-APR-2022,1246,INE021O01019
479,DOLATALGO,EQ,91.4,91.4,88.25,88.8,88.8,90.1,193575,17304191.0,11-APR-2022,4011,INE966A01022
480,DOLLAR,EQ,594.5,611.05,592.6,599.35,601.0,592.05,169133,101802608.65,11-APR-2022,7360,INE325C01035
481,DONEAR,EQ,59.6,60.5,59.0,59.7,60.0,59.6,30650,1830306.95,11-APR-2022,431,INE668D01028
482,DPABHUSHAN,EQ,371.35,412.05,369.05,391.4,393.95,373.3,45967,18220730.75,11-APR-2022,1170,INE266Y01019
483,DPSCLTD,EQ,15.3,15.3,14.9,15.05,15.1,15.0,137803,2078621.9,11-APR-2022,976,INE360C01024
484,DPWIRES,EQ,333.95,366.4,333.95,366.4,366.4,333.1,88863,32263759.65,11-APR-2022,1479,INE864X01013
486,DREDGECORP,EQ,342.1,375.0,342.1,360.7,360.0,344.5,264832,95959573.4,11-APR-2022,11751,INE506A01018
487,DRREDDY,EQ,4430.0,4450.0,4373.45,4380.5,4382.4,4430.35,215559,949230344.35,11-APR-2022,31711,INE089A01023
488,DSPN50ETF,EQ,178.0,179.0,177.32,178.8,178.8,177.75,244,43620.15,11-APR-2022,17,INF740KA1CL0
489,DSPNEWETF,EQ,205.99,205.99,197.5,202.73,202.73,202.48,989,199002.11,11-APR-2022,72,INF740KA1QK2
490,DSPQ50ETF,EQ,189.0,189.0,170.0,173.7,173.7,172.75,1278,219732.83,11-APR-2022,91,INF740KA1QL0
491,DSSL,EQ,236.4,279.6,231.2,279.3,279.6,233.0,932491,250804198.75,11-APR-2022,17011,INE417B01040
492,DTIL,EQ,304.3,304.45,295.8,299.0,299.0,298.05,19007,5690003.55,11-APR-2022,777,INE341R01014
493,DUCON,EQ,26.7,29.35,26.7,29.35,29.35,26.7,766941,22070186.8,11-APR-2022,3269,INE741L01018
494,DVL,EQ,263.95,264.05,257.05,261.75,261.9,258.15,26810,6993433.75,11-APR-2022,736,INE477B01010
495,DWARKESH,EQ,138.8,140.95,137.7,138.8,139.05,138.05,3508730,488036987.5,11-APR-2022,23965,INE366A01041
496,DYNAMATECH,EQ,2580.0,2645.5,2555.15,2599.35,2583.15,2558.95,26392,68588385.4,11-APR-2022,4882,INE221B01012
498,DYNPRO,EQ,648.7,683.0,645.0,675.5,678.0,643.5,312105,208975564.95,11-APR-2022,20947,INE256H01015
500,EASEMYTRIP,EQ,431.6,433.2,410.0,412.05,411.0,428.9,2315203,970460928.05,11-APR-2022,52180,INE07O001018
501,EASTSILK,EQ,7.4,7.5,7.05,7.1,7.25,7.25,136704,987754.6,11-APR-2022,441,INE962C01027
503,EBANK,EQ,4079.99,4079.99,3951.01,4072.99,4072.99,3937.91,16,64509.94,11-APR-2022,13,INF754K01EL1
504,EBBETF0423,EQ,1174.86,1180.0,1170.1,1174.23,1180.0,1174.86,3627,4267091.31,11-APR-2022,64,INF754K01KN4
505,EBBETF0425,EQ,1089.0,1089.0,1086.51,1087.4,1087.3,1089.0,9012,9801359.02,11-APR-2022,85,INF754K01LD3
506,EBBETF0430,EQ,1214.0,1214.0,1183.0,1202.34,1202.49,1205.49,16862,20281447.18,11-APR-2022,339,INF754K01KO2
507,EBBETF0431,EQ,1078.9,1078.9,1071.1,1073.79,1073.99,1076.46,34244,36741270.59,11-APR-2022,253,INF754K01LE1
508,ECLERX,EQ,2541.25,2544.7,2412.1,2438.75,2448.0,2518.05,30649,75641268.1,11-APR-2022,4969,INE738I01010
518,EDELWEISS,EQ,62.6,63.7,61.75,62.05,62.15,62.6,1796372,112346066.95,11-APR-2022,7329,INE532F01054
522,EICHERMOT,EQ,2549.9,2565.0,2540.0,2545.6,2540.65,2555.2,332108,848718320.55,11-APR-2022,31028,INE066A01021
523,EIDPARRY,EQ,480.05,507.0,480.05,504.4,504.0,480.05,694542,347220544.7,11-APR-2022,18335,INE126A01031
524,EIFFL,EQ,119.0,119.0,113.15,113.45,113.15,115.25,4005,463505.25,11-APR-2022,423,INE546V01010
525,EIHAHOTELS,EQ,478.0,489.9,474.0,476.75,474.4,480.8,26665,12830110.0,11-APR-2022,1914,INE276C01014
526,EIHOTEL,EQ,168.55,169.85,165.2,166.55,166.2,167.2,378930,63340163.7,11-APR-2022,4876,INE230A01023
527,EIMCOELECO,EQ,358.05,366.65,354.35,355.9,355.0,356.95,8145,2942370.25,11-APR-2022,423,INE158B01016
528,EKC,EQ,224.75,235.75,224.75,235.15,233.8,224.55,466259,109152913.4,11-APR-2022,3755,INE184H01027
529,ELECON,EQ,174.0,186.85,173.95,185.4,185.8,174.55,1303302,238610824.05,11-APR-2022,15894,INE205B01023
530,ELECTCAST,EQ,45.0,45.45,44.25,44.6,44.75,44.15,1520474,67901794.55,11-APR-2022,4325,INE086A01029
531,ELECTHERM,EQ,127.25,133.9,124.1,124.65,124.9,127.25,101098,12868762.85,11-APR-2022,2597,INE822G01016
532,ELGIEQUIP,EQ,305.0,311.85,304.05,306.75,306.7,303.1,293738,90352797.2,11-APR-2022,18686,INE285A01027
